id,season,city,date,team1,team2,toss_winner,toss_decision,winner,venue,result,result_margin,player_of_match
246,2015,Rajiv,2015-04-01,LSG,MI,LSG,field,MI,Rajiv Gandhi Stadium,normal,26,Player_118
247,2015,Narendra,2015-04-02,RR,RCB,RCB,bat,RR,Narendra Modi Stadium,normal,43,Player_149
248,2015,Rajiv,2015-04-03,PBKS,SRH,PBKS,field,PBKS,Rajiv Gandhi Stadium,normal,13,Player_10
249,2015,Arun,2015-04-04,RR,KKR,KKR,bat,KKR,Arun Jaitley Stadium,normal,14,Player_95
250,2015,Narendra,2015-04-05,RCB,MI,RCB,bat,RCB,Narendra Modi Stadium,normal,33,Player_186
251,2015,Eden,2015-04-06,PBKS,DC,PBKS,bat,DC,Eden Gardens,normal,46,Player_21
252,2015,Eden,2015-04-07,SRH,RCB,SRH,bat,RCB,Eden Gardens,normal,15,Player_20
253,2015,Narendra,2015-04-08,SRH,KKR,SRH,bat,KKR,Narendra Modi Stadium,normal,49,Player_27
254,2015,Wankhede,2015-04-09,MI,CSK,CSK,field,MI,Wankhede Stadium,normal,33,Player_26
255,2015,Rajiv,2015-04-10,DC,RR,DC,bat,RR,Rajiv Gandhi Stadium,normal,23,Player_83
256,2015,Wankhede,2015-04-11,RR,DC,DC,bat,RR,Wankhede Stadium,normal,19,Player_74
257,2015,Chepauk,2015-04-12,PBKS,RCB,PBKS,bat,RCB,Chepauk Stadium,normal,15,Player_132
258,2015,Chinnaswamy,2015-04-13,GT,MI,GT,bat,MI,Chinnaswamy Stadium,normal,5,Player_141
259,2015,Rajiv,2015-04-14,SRH,PBKS,PBKS,field,SRH,Rajiv Gandhi Stadium,normal,39,Player_101
260,2015,Chepauk,2015-04-15,RR,KKR,KKR,field,KKR,Chepauk Stadium,normal,48,Player_30
261,2015,Wankhede,2015-04-16,KKR,DC,DC,bat,KKR,Wankhede Stadium,normal,28,Player_10
262,2015,Chinnaswamy,2015-04-17,GT,PBKS,PBKS,field,GT,Chinnaswamy Stadium,normal,19,Player_134
263,2015,Narendra,2015-04-18,RR,LSG,RR,bat,RR,Narendra Modi Stadium,normal,4,Player_63
264,2015,Rajiv,2015-04-19,CSK,LSG,LSG,field,CSK,Rajiv Gandhi Stadium,normal,50,Player_53
265,2015,Arun,2015-04-20,RCB,GT,RCB,field,GT,Arun Jaitley Stadium,normal,25,Player_180
266,2015,Wankhede,2015-04-21,RCB,PBKS,PBKS,bat,PBKS,Wankhede Stadium,normal,13,Player_113
267,2015,Eden,2015-04-22,GT,RR,GT,field,GT,Eden Gardens,normal,5,Player_183
268,2015,Rajiv,2015-04-23,CSK,RCB,RCB,bat,CSK,Rajiv Gandhi Stadium,normal,14,Player_87
269,2015,Eden,2015-04-24,SRH,CSK,CSK,bat,CSK,Eden Gardens,normal,24,Player_115
270,2015,Eden,2015-04-25,PBKS,RCB,RCB,field,PBKS,Eden Gardens,normal,36,Player_71
271,2015,Arun,2015-04-26,CSK,KKR,KKR,bat,CSK,Arun Jaitley Stadium,normal,28,Player_26
272,2015,Narendra,2015-04-27,SRH,PBKS,PBKS,bat,SRH,Narendra Modi Stadium,normal,20,Player_142
273,2015,Arun,2015-04-28,DC,LSG,LSG,field,LSG,Arun Jaitley Stadium,normal,2,Player_12
274,2015,Wankhede,2015-04-29,PBKS,CSK,CSK,bat,CSK,Wankhede Stadium,normal,41,Player_53
275,2015,Wankhede,2015-04-30,GT,SRH,SRH,field,SRH,Wankhede Stadium,normal,5,Player_99
276,2015,Eden,2015-05-01,PBKS,GT,GT,bat,GT,Eden Gardens,normal,5,Player_37
277,2015,Rajiv,2015-05-02,KKR,LSG,LSG,field,LSG,Rajiv Gandhi Stadium,normal,16,Player_168
278,2015,Chepauk,2015-05-03,PBKS,KKR,PBKS,bat,KKR,Chepauk Stadium,normal,29,Player_173
279,2015,Arun,2015-05-04,LSG,DC,LSG,bat,LSG,Arun Jaitley Stadium,normal,31,Player_140
280,2015,Wankhede,2015-05-05,DC,SRH,SRH,bat,DC,Wankhede Stadium,normal,49,Player_11
281,2016,Eden,2016-04-01,SRH,CSK,SRH,field,SRH,Eden Gardens,normal,4,Player_195
282,2016,Rajiv,2016-04-02,MI,KKR,MI,field,KKR,Rajiv Gandhi Stadium,normal,9,Player_112
283,2016,Chinnaswamy,2016-04-03,GT,SRH,GT,bat,SRH,Chinnaswamy Stadium,normal,48,Player_69
284,2016,Eden,2016-04-04,CSK,RCB,RCB,field,CSK,Eden Gardens,normal,50,Player_88
285,2016,Narendra,2016-04-05,RCB,DC,RCB,field,DC,Narendra Modi Stadium,normal,44,Player_48
286,2016,Chepauk,2016-04-06,DC,PBKS,PBKS,field,DC,Chepauk Stadium,normal,46,Player_155
287,2016,Eden,2016-04-07,PBKS,SRH,SRH,bat,SRH,Eden Gardens,normal,5,Player_117
288,2016,Arun,2016-04-08,RCB,KKR,KKR,field,RCB,Arun Jaitley Stadium,normal,39,Player_177
289,2016,Chepauk,2016-04-09,RR,KKR,RR,field,KKR,Chepauk Stadium,normal,33,Player_87
290,2016,Chepauk,2016-04-10,RR,MI,RR,bat,MI,Chepauk Stadium,normal,34,Player_75
291,2016,Chinnaswamy,2016-04-11,RCB,CSK,RCB,field,RCB,Chinnaswamy Stadium,normal,45,Player_52
292,2016,Wankhede,2016-04-12,DC,GT,GT,bat,GT,Wankhede Stadium,normal,16,Player_55
293,2016,Chinnaswamy,2016-04-13,LSG,CSK,LSG,field,LSG,Chinnaswamy Stadium,normal,37,Player_143
294,2016,Arun,2016-04-14,RR,DC,RR,field,RR,Arun Jaitley Stadium,normal,14,Player_120
295,2016,Chepauk,2016-04-15,RR,KKR,KKR,bat,RR,Chepauk Stadium,normal,50,Player_54
296,2016,Chinnaswamy,2016-04-16,MI,CSK,MI,bat,CSK,Chinnaswamy Stadium,normal,21,Player_199
297,2016,Narendra,2016-04-17,SRH,PBKS,PBKS,field,SRH,Narendra Modi Stadium,normal,11,Player_118
298,2016,Narendra,2016-04-18,MI,DC,MI,field,DC,Narendra Modi Stadium,normal,34,Player_184
299,2016,Chinnaswamy,2016-04-19,LSG,SRH,SRH,bat,LSG,Chinnaswamy Stadium,normal,32,Player_138
300,2016,Rajiv,2016-04-20,RR,GT,GT,field,RR,Rajiv Gandhi Stadium,normal,28,Player_11
301,2016,Rajiv,2016-04-21,LSG,GT,LSG,field,LSG,Rajiv Gandhi Stadium,normal,24,Player_200
302,2016,Wankhede,2016-04-22,GT,RR,GT,field,GT,Wankhede Stadium,normal,10,Player_137
303,2016,Chepauk,2016-04-23,SRH,LSG,SRH,field,LSG,Chepauk Stadium,normal,2,Player_77
304,2016,Eden,2016-04-24,KKR,PBKS,KKR,bat,KKR,Eden Gardens,normal,30,Player_90
305,2016,Chepauk,2016-04-25,RR,SRH,SRH,bat,SRH,Chepauk Stadium,normal,19,Player_132
306,2016,Narendra,2016-04-26,LSG,MI,LSG,bat,LSG,Narendra Modi Stadium,normal,50,Player_145
307,2016,Eden,2016-04-27,RR,DC,RR,bat,RR,Eden Gardens,normal,11,Player_33
308,2016,Arun,2016-04-28,SRH,DC,SRH,field,DC,Arun Jaitley Stadium,normal,19,Player_95
309,2016,Wankhede,2016-04-29,PBKS,DC,PBKS,field,PBKS,Wankhede Stadium,normal,5,Player_168
310,2016,Eden,2016-04-30,PBKS,CSK,CSK,field,PBKS,Eden Gardens,normal,14,Player_136
311,2016,Chinnaswamy,2016-05-01,MI,LSG,LSG,field,LSG,Chinnaswamy Stadium,normal,3,Player_142
312,2016,Rajiv,2016-05-02,CSK,RCB,RCB,bat,CSK,Rajiv Gandhi Stadium,normal,36,Player_174
313,2016,Wankhede,2016-05-03,DC,KKR,DC,field,DC,Wankhede Stadium,normal,37,Player_173
314,2016,Rajiv,2016-05-04,PBKS,GT,PBKS,field,GT,Rajiv Gandhi Stadium,normal,33,Player_18
315,2016,Wankhede,2016-05-05,SRH,PBKS,PBKS,field,SRH,Wankhede Stadium,normal,41,Player_184
316,2017,Chepauk,2017-04-01,PBKS,RR,PBKS,bat,PBKS,Chepauk Stadium,normal,20,Player_82
317,2017,Chinnaswamy,2017-04-02,CSK,RCB,CSK,field,RCB,Chinnaswamy Stadium,normal,3,Player_32
318,2017,Eden,2017-04-03,RR,PBKS,RR,bat,PBKS,Eden Gardens,normal,41,Player_165
319,2017,Chinnaswamy,2017-04-04,RR,LSG,LSG,bat,RR,Chinnaswamy Stadium,normal,32,Player_130
320,2017,Narendra,2017-04-05,LSG,PBKS,PBKS,field,PBKS,Narendra Modi Stadium,normal,34,Player_18
321,2017,Chinnaswamy,2017-04-06,CSK,KKR,CSK,bat,KKR,Chinnaswamy Stadium,normal,3,Player_146
322,2017,Chinnaswamy,2017-04-07,RR,PBKS,PBKS,field,RR,Chinnaswamy Stadium,normal,29,Player_156
323,2017,Chepauk,2017-04-08,LSG,PBKS,LSG,bat,PBKS,Chepauk Stadium,normal,34,Player_23
324,2017,Eden,2017-04-09,RCB,RR,RCB,bat,RR,Eden Gardens,normal,23,Player_185
325,2017,Narendra,2017-04-10,KKR,SRH,KKR,field,SRH,Narendra Modi Stadium,normal,23,Player_70
326,2017,Arun,2017-04-11,PBKS,CSK,CSK,field,CSK,Arun Jaitley Stadium,normal,7,Player_45
327,2017,Rajiv,2017-04-12,SRH,RR,RR,field,RR,Rajiv Gandhi Stadium,normal,24,Player_192
328,2017,Eden,2017-04-13,MI,LSG,LSG,bat,LSG,Eden Gardens,normal,2,Player_160
329,2017,Wankhede,2017-04-14,KKR,RR,KKR,bat,KKR,Wankhede Stadium,normal,45,Player_28
330,2017,Narendra,2017-04-15,SRH,RCB,SRH,field,SRH,Narendra Modi Stadium,normal,2,Player_38
331,2017,Arun,2017-04-16,RCB,RR,RR,field,RR,Arun Jaitley Stadium,normal,38,Player_189
332,2017,Chepauk,2017-04-17,RR,MI,RR,field,MI,Chepauk Stadium,normal,22,Player_123
333,2017,Chinnaswamy,2017-04-18,CSK,MI,CSK,field,MI,Chinnaswamy Stadium,normal,40,Player_57
334,2017,Arun,2017-04-19,CSK,RR,RR,field,CSK,Arun Jaitley Stadium,normal,11,Player_31
335,2017,Arun,2017-04-20,GT,LSG,LSG,bat,GT,Arun Jaitley Stadium,normal,34,Player_5
336,2017,Rajiv,2017-04-21,MI,LSG,LSG,bat,LSG,Rajiv Gandhi Stadium,normal,28,Player_37
337,2017,Rajiv,2017-04-22,RCB,CSK,RCB,field,RCB,Rajiv Gandhi Stadium,normal,7,Player_94
338,2017,Rajiv,2017-04-23,RCB,PBKS,RCB,field,PBKS,Rajiv Gandhi Stadium,normal,38,Player_2
339,2017,Chepauk,2017-04-24,KKR,RR,KKR,field,KKR,Chepauk Stadium,normal,46,Player_29
340,2017,Arun,2017-04-25,DC,SRH,SRH,bat,SRH,Arun Jaitley Stadium,normal,17,Player_101
341,2017,Rajiv,2017-04-26,CSK,PBKS,PBKS,field,CSK,Rajiv Gandhi Stadium,normal,49,Player_10
342,2017,Chinnaswamy,2017-04-27,MI,PBKS,MI,bat,PBKS,Chinnaswamy Stadium,normal,25,Player_178
343,2017,Arun,2017-04-28,CSK,KKR,CSK,bat,CSK,Arun Jaitley Stadium,normal,31,Player_73
344,2017,Eden,2017-04-29,LSG,KKR,LSG,field,KKR,Eden Gardens,normal,45,Player_198
345,2017,Wankhede,2017-04-30,RR,RCB,RCB,bat,RCB,Wankhede Stadium,normal,29,Player_154
346,2017,Chepauk,2017-05-01,CSK,LSG,LSG,bat,LSG,Chepauk Stadium,normal,37,Player_148
347,2017,Arun,2017-05-02,SRH,RCB,RCB,field,RCB,Arun Jaitley Stadium,normal,5,Player_158
348,2017,Chinnaswamy,2017-05-03,DC,PBKS,PBKS,bat,PBKS,Chinnaswamy Stadium,normal,12,Player_15
349,2017,Chepauk,2017-05-04,RCB,CSK,RCB,field,CSK,Chepauk Stadium,normal,24,Player_192
350,2017,Narendra,2017-05-05,GT,MI,MI,bat,GT,Narendra Modi Stadium,normal,8,Player_127
351,2018,Chinnaswamy,2018-04-01,MI,KKR,KKR,field,KKR,Chinnaswamy Stadium,normal,36,Player_99
352,2018,Eden,2018-04-02,KKR,PBKS,PBKS,field,PBKS,Eden Gardens,normal,6,Player_158
353,2018,Chepauk,2018-04-03,RR,LSG,LSG,bat,RR,Chepauk Stadium,normal,43,Player_88
354,2018,Narendra,2018-04-04,DC,RCB,RCB,field,RCB,Narendra Modi Stadium,normal,42,Player_87
355,2018,Wankhede,2018-04-05,DC,CSK,CSK,bat,CSK,Wankhede Stadium,normal,38,Player_8
356,2018,Chinnaswamy,2018-04-06,PBKS,RCB,PBKS,bat,PBKS,Chinnaswamy Stadium,normal,31,Player_148
357,2018,Eden,2018-04-07,LSG,MI,LSG,bat,MI,Eden Gardens,normal,19,Player_164
358,2018,Wankhede,2018-04-08,LSG,PBKS,PBKS,bat,PBKS,Wankhede Stadium,normal,27,Player_50
359,2018,Rajiv,2018-04-09,GT,RR,RR,field,GT,Rajiv Gandhi Stadium,normal,27,Player_142
360,2018,Rajiv,2018-04-10,KKR,PBKS,PBKS,bat,KKR,Rajiv Gandhi Stadium,normal,44,Player_91
361,2018,Rajiv,2018-04-11,RCB,PBKS,PBKS,field,RCB,Rajiv Gandhi Stadium,normal,24,Player_8
362,2018,Rajiv,2018-04-12,MI,PBKS,PBKS,field,MI,Rajiv Gandhi Stadium,normal,16,Player_176
363,2018,Narendra,2018-04-13,PBKS,RCB,PBKS,bat,RCB,Narendra Modi Stadium,normal,12,Player_195
364,2018,Eden,2018-04-14,RCB,PBKS,RCB,bat,RCB,Eden Gardens,normal,21,Player_148
365,2018,Chepauk,2018-04-15,CSK,LSG,LSG,field,CSK,Chepauk Stadium,normal,44,Player_39
366,2018,Eden,2018-04-16,PBKS,MI,MI,field,MI,Eden Gardens,normal,9,Player_118
367,2018,Chepauk,2018-04-17,DC,RCB,RCB,bat,DC,Chepauk Stadium,normal,24,Player_104
368,2018,Wankhede,2018-04-18,RCB,CSK,RCB,field,CSK,Wankhede Stadium,normal,39,Player_163
369,2018,Chinnaswamy,2018-04-19,MI,LSG,MI,bat,LSG,Chinnaswamy Stadium,normal,15,Player_135
370,2018,Arun,2018-04-20,RR,GT,GT,field,RR,Arun Jaitley Stadium,normal,23,Player_34
371,2018,Wankhede,2018-04-21,SRH,RCB,SRH,bat,RCB,Wankhede Stadium,normal,16,Player_188
372,2018,Wankhede,2018-04-22,PBKS,LSG,LSG,field,LSG,Wankhede Stadium,normal,36,Player_92
373,2018,Chepauk,2018-04-23,MI,RCB,RCB,bat,RCB,Chepauk Stadium,normal,27,Player_47
374,2018,Chepauk,2018-04-24,PBKS,CSK,PBKS,field,CSK,Chepauk Stadium,normal,25,Player_75
375,2018,Rajiv,2018-04-25,CSK,RCB,RCB,field,CSK,Rajiv Gandhi Stadium,normal,1,Player_106
376,2018,Arun,2018-04-26,DC,KKR,DC,bat,DC,Arun Jaitley Stadium,normal,13,Player_129
377,2018,Eden,2018-04-27,PBKS,DC,PBKS,bat,PBKS,Eden Gardens,normal,42,Player_12
378,2018,Wankhede,2018-04-28,CSK,PBKS,PBKS,field,PBKS,Wankhede Stadium,normal,45,Player_176
379,2018,Eden,2018-04-29,RCB,KKR,RCB,field,KKR,Eden Gardens,normal,43,Player_7
380,2018,Chepauk,2018-04-30,MI,SRH,SRH,bat,MI,Chepauk Stadium,normal,44,Player_55
381,2018,Arun,2018-05-01,RR,GT,GT,field,GT,Arun Jaitley Stadium,normal,2,Player_175
382,2018,Arun,2018-05-02,RCB,SRH,RCB,bat,RCB,Arun Jaitley Stadium,normal,36,Player_171
383,2018,Wankhede,2018-05-03,CSK,LSG,CSK,field,LSG,Wankhede Stadium,normal,2,Player_85
384,2018,Narendra,2018-05-04,PBKS,SRH,SRH,field,SRH,Narendra Modi Stadium,normal,25,Player_163
385,2018,Wankhede,2018-05-05,PBKS,CSK,CSK,bat,PBKS,Wankhede Stadium,normal,11,Player_28
386,2019,Arun,2019-04-01,RR,MI,RR,bat,MI,Arun Jaitley Stadium,normal,33,Player_112
387,2019,Arun,2019-04-02,DC,PBKS,PBKS,field,DC,Arun Jaitley Stadium,normal,32,Player_166
388,2019,Arun,2019-04-03,DC,KKR,DC,field,KKR,Arun Jaitley Stadium,normal,38,Player_120
389,2019,Rajiv,2019-04-04,KKR,DC,KKR,bat,KKR,Rajiv Gandhi Stadium,normal,42,Player_99
390,2019,Wankhede,2019-04-05,PBKS,GT,PBKS,bat,PBKS,Wankhede Stadium,normal,50,Player_127
391,2019,Narendra,2019-04-06,DC,PBKS,DC,field,DC,Narendra Modi Stadium,normal,45,Player_46
392,2019,Wankhede,2019-04-07,SRH,GT,GT,field,SRH,Wankhede Stadium,normal,38,Player_3
393,2019,Wankhede,2019-04-08,MI,CSK,CSK,field,MI,Wankhede Stadium,normal,39,Player_36
394,2019,Chinnaswamy,2019-04-09,PBKS,LSG,PBKS,field,LSG,Chinnaswamy Stadium,normal,7,Player_181
395,2019,Narendra,2019-04-10,PBKS,GT,GT,bat,GT,Narendra Modi Stadium,normal,44,Player_89
396,2019,Wankhede,2019-04-11,DC,PBKS,DC,field,DC,Wankhede Stadium,normal,41,Player_4
397,2019,Rajiv,2019-04-12,KKR,GT,GT,field,GT,Rajiv Gandhi Stadium,normal,43,Player_185
398,2019,Chepauk,2019-04-13,LSG,KKR,LSG,bat,KKR,Chepauk Stadium,normal,28,Player_106
399,2019,Chinnaswamy,2019-04-14,RR,LSG,RR,field,RR,Chinnaswamy Stadium,normal,4,Player_180
400,2019,Rajiv,2019-04-15,DC,MI,DC,field,MI,Rajiv Gandhi Stadium,normal,27,Player_93
401,2019,Arun,2019-04-16,MI,PBKS,MI,bat,PBKS,Arun Jaitley Stadium,normal,4,Player_145
402,2019,Wankhede,2019-04-17,GT,LSG,GT,bat,GT,Wankhede Stadium,normal,19,Player_103
403,2019,Rajiv,2019-04-18,CSK,DC,DC,bat,CSK,Rajiv Gandhi Stadium,normal,3,Player_117
404,2019,Chepauk,2019-04-19,LSG,RCB,RCB,bat,LSG,Chepauk Stadium,normal,3,Player_41
405,2019,Eden,2019-04-20,GT,LSG,GT,bat,LSG,Eden Gardens,normal,20,Player_119
406,2019,Narendra,2019-04-21,CSK,RCB,CSK,bat,CSK,Narendra Modi Stadium,normal,41,Player_170
407,2019,Eden,2019-04-22,RCB,DC,DC,bat,RCB,Eden Gardens,normal,17,Player_82
408,2019,Chepauk,2019-04-23,DC,PBKS,PBKS,field,DC,Chepauk Stadium,normal,17,Player_159
409,2019,Rajiv,2019-04-24,CSK,KKR,KKR,bat,CSK,Rajiv Gandhi Stadium,normal,12,Player_35
410,2019,Eden,2019-04-25,PBKS,GT,PBKS,bat,GT,Eden Gardens,normal,5,Player_158
411,2019,Eden,2019-04-26,RCB,MI,MI,field,MI,Eden Gardens,normal,8,Player_133
412,2019,Chinnaswamy,2019-04-27,PBKS,RR,RR,field,PBKS,Chinnaswamy Stadium,normal,17,Player_156
413,2019,Chinnaswamy,2019-04-28,KKR,DC,DC,bat,DC,Chinnaswamy Stadium,normal,31,Player_124
414,2019,Chepauk,2019-04-29,CSK,RR,CSK,bat,RR,Chepauk Stadium,normal,41,Player_80
415,2019,Rajiv,2019-04-30,CSK,LSG,LSG,bat,LSG,Rajiv Gandhi Stadium,normal,28,Player_121
416,2019,Arun,2019-05-01,RCB,DC,RCB,field,DC,Arun Jaitley Stadium,normal,32,Player_35
417,2019,Chinnaswamy,2019-05-02,CSK,RR,CSK,field,CSK,Chinnaswamy Stadium,normal,27,Player_57
418,2019,Arun,2019-05-03,RCB,MI,RCB,bat,MI,Arun Jaitley Stadium,normal,47,Player_26
419,2019,Chinnaswamy,2019-05-04,LSG,MI,MI,field,LSG,Chinnaswamy Stadium,normal,21,Player_171
420,2019,Rajiv,2019-05-05,KKR,DC,KKR,bat,KKR,Rajiv Gandhi Stadium,normal,38,Player_171
421,2020,Rajiv,2020-04-01,RCB,SRH,RCB,bat,RCB,Rajiv Gandhi Stadium,normal,39,Player_50
422,2020,Eden,2020-04-02,RCB,GT,RCB,field,GT,Eden Gardens,normal,4,Player_173
423,2020,Chepauk,2020-04-03,MI,SRH,SRH,bat,MI,Chepauk Stadium,normal,32,Player_97
424,2020,Wankhede,2020-04-04,RCB,GT,RCB,bat,RCB,Wankhede Stadium,normal,25,Player_68
425,2020,Arun,2020-04-05,CSK,RCB,CSK,field,RCB,Arun Jaitley Stadium,normal,31,Player_86
426,2020,Rajiv,2020-04-06,LSG,KKR,LSG,bat,KKR,Rajiv Gandhi Stadium,normal,14,Player_126
427,2020,Narendra,2020-04-07,CSK,GT,GT,bat,CSK,Narendra Modi Stadium,normal,48,Player_120
428,2020,Wankhede,2020-04-08,MI,GT,MI,bat,GT,Wankhede Stadium,normal,50,Player_50
429,2020,Chinnaswamy,2020-04-09,RCB,PBKS,PBKS,bat,RCB,Chinnaswamy Stadium,normal,22,Player_104
430,2020,Eden,2020-04-10,SRH,KKR,KKR,bat,SRH,Eden Gardens,normal,6,Player_3
431,2020,Rajiv,2020-04-11,LSG,KKR,KKR,field,KKR,Rajiv Gandhi Stadium,normal,30,Player_181
432,2020,Rajiv,2020-04-12,PBKS,MI,MI,field,MI,Rajiv Gandhi Stadium,normal,47,Player_166
433,2020,Narendra,2020-04-13,RCB,KKR,RCB,field,KKR,Narendra Modi Stadium,normal,44,Player_58
434,2020,Chinnaswamy,2020-04-14,SRH,PBKS,PBKS,bat,PBKS,Chinnaswamy Stadium,normal,16,Player_75
435,2020,Arun,2020-04-15,RR,PBKS,PBKS,field,RR,Arun Jaitley Stadium,normal,31,Player_8
436,2020,Narendra,2020-04-16,GT,LSG,GT,bat,LSG,Narendra Modi Stadium,normal,29,Player_82
437,2020,Chepauk,2020-04-17,CSK,RR,RR,field,RR,Chepauk Stadium,normal,11,Player_6
438,2020,Rajiv,2020-04-18,KKR,LSG,LSG,field,LSG,Rajiv Gandhi Stadium,normal,15,Player_83
439,2020,Narendra,2020-04-19,LSG,CSK,LSG,bat,CSK,Narendra Modi Stadium,normal,11,Player_40
440,2020,Rajiv,2020-04-20,MI,RCB,RCB,bat,RCB,Rajiv Gandhi Stadium,normal,34,Player_114
441,2020,Narendra,2020-04-21,GT,DC,DC,bat,DC,Narendra Modi Stadium,normal,11,Player_79
442,2020,Arun,2020-04-22,PBKS,GT,PBKS,bat,GT,Arun Jaitley Stadium,normal,17,Player_187
443,2020,Eden,2020-04-23,LSG,GT,GT,field,GT,Eden Gardens,normal,25,Player_150
444,2020,Rajiv,2020-04-24,LSG,SRH,LSG,bat,SRH,Rajiv Gandhi Stadium,normal,29,Player_63
445,2020,Narendra,2020-04-25,LSG,GT,GT,bat,GT,Narendra Modi Stadium,normal,48,Player_108
446,2020,Chinnaswamy,2020-04-26,DC,MI,MI,bat,DC,Chinnaswamy Stadium,normal,23,Player_161
447,2020,Eden,2020-04-27,RCB,PBKS,PBKS,field,PBKS,Eden Gardens,normal,20,Player_96
448,2020,Chinnaswamy,2020-04-28,LSG,MI,MI,bat,LSG,Chinnaswamy Stadium,normal,4,Player_154
449,2020,Wankhede,2020-04-29,RCB,LSG,LSG,field,LSG,Wankhede Stadium,normal,39,Player_171
450,2020,Narendra,2020-04-30,DC,KKR,DC,field,KKR,Narendra Modi Stadium,normal,31,Player_20
451,2020,Chinnaswamy,2020-05-01,SRH,GT,SRH,field,GT,Chinnaswamy Stadium,normal,47,Player_193
452,2020,Arun,2020-05-02,PBKS,RR,PBKS,field,RR,Arun Jaitley Stadium,normal,40,Player_70
453,2020,Chinnaswamy,2020-05-03,RR,DC,RR,field,RR,Chinnaswamy Stadium,normal,9,Player_196
454,2020,Arun,2020-05-04,RR,KKR,KKR,field,RR,Arun Jaitley Stadium,normal,49,Player_156
455,2020,Rajiv,2020-05-05,RR,SRH,SRH,bat,RR,Rajiv Gandhi Stadium,normal,26,Player_121
456,2021,Eden,2021-04-01,PBKS,SRH,SRH,bat,SRH,Eden Gardens,normal,16,Player_198
457,2021,Chinnaswamy,2021-04-02,PBKS,MI,MI,field,PBKS,Chinnaswamy Stadium,normal,20,Player_30
458,2021,Wankhede,2021-04-03,PBKS,RR,RR,bat,PBKS,Wankhede Stadium,normal,11,Player_83
459,2021,Rajiv,2021-04-04,KKR,SRH,SRH,field,KKR,Rajiv Gandhi Stadium,normal,50,Player_105
460,2021,Wankhede,2021-04-05,KKR,SRH,KKR,field,SRH,Wankhede Stadium,normal,47,Player_132
461,2021,Chinnaswamy,2021-04-06,CSK,KKR,KKR,bat,KKR,Chinnaswamy Stadium,normal,44,Player_76
462,2021,Wankhede,2021-04-07,LSG,PBKS,LSG,bat,PBKS,Wankhede Stadium,normal,29,Player_180
463,2021,Wankhede,2021-04-08,MI,LSG,MI,bat,LSG,Wankhede Stadium,normal,4,Player_101
464,2021,Arun,2021-04-09,MI,KKR,KKR,field,MI,Arun Jaitley Stadium,normal,34,Player_131
465,2021,Narendra,2021-04-10,PBKS,GT,GT,field,PBKS,Narendra Modi Stadium,normal,38,Player_69
466,2021,Eden,2021-04-11,PBKS,RCB,RCB,bat,RCB,Eden Gardens,normal,35,Player_3
467,2021,Arun,2021-04-12,RR,PBKS,RR,field,RR,Arun Jaitley Stadium,normal,49,Player_112
468,2021,Eden,2021-04-13,MI,DC,MI,field,DC,Eden Gardens,normal,30,Player_19
469,2021,Chinnaswamy,2021-04-14,SRH,MI,MI,field,SRH,Chinnaswamy Stadium,normal,40,Player_53
470,2021,Chinnaswamy,2021-04-15,SRH,PBKS,PBKS,field,PBKS,Chinnaswamy Stadium,normal,46,Player_71
471,2021,Narendra,2021-04-16,CSK,GT,CSK,bat,GT,Narendra Modi Stadium,normal,2,Player_144
472,2021,Chinnaswamy,2021-04-17,RR,MI,MI,bat,MI,Chinnaswamy Stadium,normal,5,Player_97
473,2021,Eden,2021-04-18,GT,MI,MI,bat,GT,Eden Gardens,normal,15,Player_131
474,2021,Wankhede,2021-04-19,DC,KKR,KKR,bat,KKR,Wankhede Stadium,normal,33,Player_116
475,2021,Arun,2021-04-20,PBKS,LSG,LSG,field,PBKS,Arun Jaitley Stadium,normal,48,Player_126
476,2021,Arun,2021-04-21,MI,PBKS,MI,field,MI,Arun Jaitley Stadium,normal,38,Player_86
477,2021,Rajiv,2021-04-22,KKR,RR,RR,field,RR,Rajiv Gandhi Stadium,normal,4,Player_85
478,2021,Rajiv,2021-04-23,PBKS,DC,PBKS,bat,PBKS,Rajiv Gandhi Stadium,normal,26,Player_164
479,2021,Chinnaswamy,2021-04-24,LSG,RR,RR,field,LSG,Chinnaswamy Stadium,normal,19,Player_114
480,2021,Chinnaswamy,2021-04-25,KKR,LSG,KKR,bat,KKR,Chinnaswamy Stadium,normal,48,Player_171
481,2021,Eden,2021-04-26,DC,MI,DC,field,DC,Eden Gardens,normal,10,Player_156
482,2021,Arun,2021-04-27,KKR,SRH,SRH,bat,KKR,Arun Jaitley Stadium,normal,43,Player_17
483,2021,Chepauk,2021-04-28,DC,CSK,DC,field,CSK,Chepauk Stadium,normal,33,Player_80
484,2021,Wankhede,2021-04-29,CSK,SRH,CSK,bat,SRH,Wankhede Stadium,normal,2,Player_84
485,2021,Wankhede,2021-04-30,SRH,RR,RR,bat,RR,Wankhede Stadium,normal,1,Player_156
486,2021,Narendra,2021-05-01,RCB,RR,RCB,bat,RR,Narendra Modi Stadium,normal,25,Player_45
487,2021,Chinnaswamy,2021-05-02,PBKS,GT,PBKS,field,PBKS,Chinnaswamy Stadium,normal,10,Player_124
488,2021,Chepauk,2021-05-03,SRH,LSG,SRH,field,SRH,Chepauk Stadium,normal,1,Player_71
489,2021,Narendra,2021-05-04,RCB,CSK,RCB,field,CSK,Narendra Modi Stadium,normal,17,Player_154
